Produto,Linha,Turno,Data,Hora,Funcionario,Trimmers,Processo,Tipo de Teste,Método,Instrumento, Media Parede Grossa , Range Parede Grossa , Max. Parede Grossa , Min. Parede Grossa , Média Parede Fina , Range Parede Fina , Max. Parede Fina , Min. Parede Fina 
355ml,Line 3,A,2024-10-04,10:36:00,OTAVIO,0trm34-05,0BOD34,Setup,DMS,Torus, 0.00556 , 0.00011 , 0.00562 , 0.00551 , 0.00345 , 0.00010 , 0.00350 , 0.00340 
355ml,Line 3,A,2024-10-04,10:36:00,OTAVIO,0trm34-04,0BOD34,Setup,DMS,Torus, 0.00556 , 0.00014 , 0.00565 , 0.00551 , 0.00345 , 0.00011 , 0.00350 , 0.00339 
355ml,Line 3,A,2024-10-04,10:36:00,OTAVIO,0trm34-03,0BOD34,Setup,DMS,Torus, 0.00554 , 0.00020 , 0.00565 , 0.00545 , 0.00343 , 0.00014 , 0.00351 , 0.00337 
355ml,Line 3,A,2024-10-04,10:36:00,OTAVIO,0trm34-02,0BOD34,Setup,DMS,Torus, 0.00557 , 0.00014 , 0.00565 , 0.00551 , 0.00344 , 0.00019 , 0.00354 , 0.00335 
355ml,Line 3,A,2024-10-04,10:36:00,OTAVIO,0trm34-01,0BOD34,Setup,DMS,Torus, 0.00556 , 0.00021 , 0.00569 , 0.00548 , 0.00344 , 0.00011 , 0.00350 , 0.00339 
355ml,Line 3,A,2024-10-04,09:54:00,OTAVIO,0trm39-03,0BOD39,Production,DMS,Torus, 0.00558 , 0.00025 , 0.00570 , 0.00545 , 0.00339 , 0.00009 , 0.00343 , 0.00334 
355ml,Line 3,A,2024-10-04,09:54:00,OTAVIO,0trm39-02,0BOD39,Production,DMS,Torus, 0.00558 , 0.00032 , 0.00578 , 0.00546 , 0.00340 , 0.00009 , 0.00345 , 0.00336 
355ml,Line 3,A,2024-10-04,09:54:00,OTAVIO,0trm39-01,0BOD39,Production,DMS,Torus, 0.00559 , 0.00022 , 0.00571 , 0.00549 , 0.00340 , 0.00008 , 0.00344 , 0.00336 
355ml,Line 3,A,2024-10-04,09:54:00,OTAVIO,0trm38-03,0BOD38,Production,DMS,Torus, 0.00561 , 0.00015 , 0.00569 , 0.00554 , 0.00345 , 0.00014 , 0.00352 , 0.00338 
355ml,Line 3,A,2024-10-04,09:54:00,OTAVIO,0trm38-02,0BOD38,Production,DMS,Torus, 0.00562 , 0.00018 , 0.00569 , 0.00551 , 0.00346 , 0.00012 , 0.00351 , 0.00339 
355ml,Line 3,A,2024-10-04,09:54:00,OTAVIO,0trm38-01,0BOD38,Production,DMS,Torus, 0.00561 , 0.00009 , 0.00566 , 0.00557 , 0.00345 , 0.00005 , 0.00348 , 0.00343 
355ml,Line 3,A,2024-10-04,09:54:00,OTAVIO,0trm37-05,0BOD37,Production,DMS,Torus, 0.00558 , 0.00021 , 0.00569 , 0.00548 , 0.00340 , 0.00007 , 0.00344 , 0.00337 
355ml,Line 3,A,2024-10-04,09:54:00,OTAVIO,0trm37-04,0BOD37,Production,DMS,Torus, 0.00558 , 0.00009 , 0.00561 , 0.00552 , 0.00341 , 0.00008 , 0.00346 , 0.00338 
355ml,Line 3,A,2024-10-04,09:54:00,OTAVIO,0trm37-03,0BOD37,Production,DMS,Torus, 0.00556 , 0.00022 , 0.00568 , 0.00546 , 0.00340 , 0.00013 , 0.00348 , 0.00335 
355ml,Line 3,A,2024-10-04,09:54:00,OTAVIO,0trm37-02,0BOD37,Production,DMS,Torus, 0.00556 , 0.00015 , 0.00565 , 0.00550 , 0.00340 , 0.00009 , 0.00346 , 0.00337 
355ml,Line 3,A,2024-10-04,09:54:00,OTAVIO,0trm37-01,0BOD37,Production,DMS,Torus, 0.00557 , 0.00013 , 0.00561 , 0.00548 , 0.00339 , 0.00012 , 0.00345 , 0.00333 
355ml,Line 3,A,2024-10-04,09:54:00,OTAVIO,0trm36-05,0BOD36,Production,DMS,Torus, 0.00553 , 0.00014 , 0.00557 , 0.00543 , 0.00336 , 0.00014 , 0.00343 , 0.00329 
355ml,Line 3,A,2024-10-04,09:54:00,OTAVIO,0trm36-04,0BOD36,Production,DMS,Torus, 0.00552 , 0.00012 , 0.00557 , 0.00545 , 0.00336 , 0.00013 , 0.00344 , 0.00331 
